Temps: 0s | Batterie: 48.70J | Paquets en attente: 0
Temps: 1s | Batterie: 47.40J | Paquets en attente: 0
Temps: 2s | Batterie: 46.10J | Paquets en attente: 0
Temps: 3s | Batterie: 44.80J | Paquets en attente: 0
Temps: 4s | Batterie: 43.50J | Paquets en attente: 0
Temps: 5s | Batterie: 42.20J | Paquets en attente: 0
Temps: 6s | Batterie: 40.90J | Paquets en attente: 0
Temps: 7s | Batterie: 39.60J | Paquets en attente: 0
Temps: 8s | Batterie: 38.30J | Paquets en attente: 0
Temps: 9s | Batterie: 37.00J | Paquets en attente: 0
Temps: 10s | Batterie: 35.70J | Paquets en attente: 0
Temps: 11s | Batterie: 34.40J | Paquets en attente: 0
Temps: 12s | Batterie: 33.10J | Paquets en attente: 0
Temps: 13s | Batterie: 31.80J | Paquets en attente: 0
Temps: 14s | Batterie: 30.50J | Paquets en attente: 0
Temps: 15s | Batterie: 29.20J | Paquets en attente: 0
Temps: 16s | Batterie: 27.90J | Paquets en attente: 0
Temps: 17s | Batterie: 26.60J | Paquets en attente: 0
Temps: 18s | Batterie: 25.30J | Paquets en attente: 0
Temps: 19s | Batterie: 24.00J | Paquets en attente: 0
Temps: 20s | Batterie: 22.70J | Paquets en attente: 0
Temps: 21s | Batterie: 21.40J | Paquets en attente: 0
Temps: 22s | Batterie: 20.10J | Paquets en attente: 0
Temps: 23s | Batterie: 18.80J | Paquets en attente: 0
Temps: 24s | Batterie: 17.50J | Paquets en attente: 0
Temps: 25s | Batterie: 16.20J | Paquets en attente: 0
Temps: 26s | Batterie: 14.90J | Paquets en attente: 0
Temps: 27s | Batterie: 13.60J | Paquets en attente: 0
Temps: 28s | Batterie: 12.30J | Paquets en attente: 0
Temps: 29s | Batterie: 11.00J | Paquets en attente: 0
Temps: 30s | Batterie: 9.70J | Paquets en attente: 0
Temps: 31s | Batterie: 8.40J | Paquets en attente: 0
Temps: 32s | Batterie: 7.10J | Paquets en attente: 0
Temps: 33s | Batterie: 5.80J | Paquets en attente: 0
Temps: 34s | Batterie: 4.50J | Paquets en attente: 0
Temps: 35s | Batterie: 3.20J | Paquets en attente: 0
Temps: 36s | Batterie: 1.90J | Paquets en attente: 0
Temps: 37s | Batterie: 0.60J | Paquets en attente: 0
Temps: 38s | Batterie: 0.60J | Paquets en attente: 1
Temps: 39s | Batterie: 0.60J | Paquets en attente: 2
Temps: 40s | Batterie: 0.60J | Paquets en attente: 3
Temps: 41s | Batterie: 0.60J | Paquets en attente: 4
Temps: 42s | Batterie: 0.60J | Paquets en attente: 5
Temps: 43s | Batterie: 0.60J | Paquets en attente: 5
Temps: 44s | Batterie: 0.60J | Paquets en attente: 5
Temps: 45s | Batterie: 0.60J | Paquets en attente: 5
Temps: 46s | Batterie: 0.60J | Paquets en attente: 5
Temps: 47s | Batterie: 0.60J | Paquets en attente: 5
Temps: 48s | Batterie: 0.60J | Paquets en attente: 5
Temps: 49s | Batterie: 0.60J | Paquets en attente: 5
Temps: 50s | Batterie: 0.60J | Paquets en attente: 5
Temps: 51s | Batterie: 0.60J | Paquets en attente: 5
Temps: 52s | Batterie: 0.60J | Paquets en attente: 5
Temps: 53s | Batterie: 0.60J | Paquets en attente: 5
Temps: 54s | Batterie: 0.60J | Paquets en attente: 5
Temps: 55s | Batterie: 0.60J | Paquets en attente: 5
Temps: 56s | Batterie: 0.60J | Paquets en attente: 5
Temps: 57s | Batterie: 0.60J | Paquets en attente: 5
Temps: 58s | Batterie: 0.60J | Paquets en attente: 5
Temps: 59s | Batterie: 0.60J | Paquets en attente: 5
Temps: 60s | Batterie: 0.60J | Paquets en attente: 5
Temps: 61s | Batterie: 0.60J | Paquets en attente: 5
Temps: 62s | Batterie: 0.60J | Paquets en attente: 5
